type,rank,up,title,play,like,follow
bangumi,1,,国王排名,3.2亿,,907.8万
bangumi,2,,里亚德录大地,1480.5万,,103.2万
bangumi,3,,天才王子的赤字国家振兴术,1308.8万,,147.7万
bangumi,4,,与变成了异世界美少女的好友一起冒险,871.8万,,97.3万
bangumi,5,,自称贤者弟子的贤者,1070.2万,,102.5万
bangumi,6,,在下坂本，有何贵干？中配版,161.6万,,6.5万
bangumi,7,,鬼灭之刃无限列车篇,1.1亿,,1262.7万
bangumi,8,,擅长捉弄的高木同学第三季,1194.9万,,300.7万
bangumi,9,,公主连结与你重逢第二季,927.9万,,318.5万
bangumi,10,,失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,1353.4万,,128万
bangumi,11,,JOJO的奇妙冒险石之海,9559.2万,,729万
bangumi,12,,东方少年,401.7万,,31.3万
bangumi,13,,命运-冠位指定冠位时间神殿所罗门,850.8万,,525.8万
bangumi,14,,鬼灭之刃,7.9亿,,1123万
bangumi,15,,小林家的龙女仆中配版,48.6万,,2.6万
bangumi,16,,辉夜大小姐想让我告白？中配版,206.2万,,4万
bangumi,17,,现实主义勇者的王国再建记,4599万,,155.1万
bangumi,18,,宿命回响：命运节拍,4321.1万,,321.5万
bangumi,19,,黑色四叶草,2.9亿,,260.4万
bangumi,20,,小林家的龙女仆,3.2亿,,767.4万
bangumi,21,,咒术回战,6.6亿,,1056.7万
bangumi,22,,女孩的钓鱼慢活,284.6万,,44.5万
bangumi,23,,名侦探柯南,4.9亿,,389.4万
bangumi,24,,JOJO的奇妙冒险黄金之风,4.3亿,,460.6万
bangumi,25,,舞伎家的料理人,334.1万,,31.9万
bangumi,26,,博人传火影忍者新时代,2.7亿,,215.2万
bangumi,27,,少女前线,250.3万,,92.9万
bangumi,28,,异想食堂/异世界食堂第二季,264.8万,,190.4万
bangumi,29,,关于我转生变成史莱姆这档事第二季,3.5亿,,887.7万
bangumi,30,,世界尽头的圣骑士,4565.9万,,206.7万
bangumi,31,,辉夜大小姐想让我告白中配版,675.3万,,13.1万
bangumi,32,,堀与宫村,2亿,,637.8万
bangumi,33,,小林家的龙女仆第二季,8663.6万,,844.9万
bangumi,34,,创之界限,752.4万,,68.3万
bangumi,35,,指名！,170.8万,,12.2万
bangumi,36,,秘密内幕女警的反击,317.6万,,37.7万
bangumi,37,,OVERLORD,3.8亿,,594.2万
bangumi,38,,关于我转生变成史莱姆这档事,4亿,,716.9万
bangumi,39,,OVERLORDⅢ,3.7亿,,536.6万
bangumi,40,,OVERLORDⅡ,3.5亿,,524.4万
bangumi,41,,通灵王,4023.4万,,139.2万
bangumi,42,,"世界顶尖的暗杀者,转生为异世界贵族",1.3亿,,465.3万
bangumi,43,,在下坂本，有何贵干？,2亿,,563.5万
bangumi,44,,干物妹！小埋粤配版,43.5万,,1万
